Sample_ID,Experiment_name,Date,Start_time,End_time,Climate_logger_ID,Latitude,Longitude,GPS,City,Address,Location_description,Habitat_description,Temperature,Weather,Shade,Wind,Imp_mean,Imp_median,Imp_stdev,Imp_min,Imp_max,Remarks_participants,Remarks_Nelma
23-22009,R.R.M.K.S,25.05.2023,12:20,14:22,94233331,52.390833,13.419689,"52.390833, 13.419689",Berlin,"Nahariyastraße 13-17, 12309 Berlin",Nahariya Grundschule,,19,no clouds,no shade,no wind,48.67857,44.5,30.326,0,100,,
23-22015,JNVNLN - Experiment,09.06.2023,11:59,14:00,94233372,52.502352,13.490281,"52.502352, 13.490281",Berlin,"Lueckstrasse 63, 10317 Berlin",Immanuel-Kant-Gymnasium,,25,lightly cloudy,half-shade,weak wind,68.94249,81,32.00823,4,100,,
23-22021,Zuckerschnüffler,09.06.2023,11:58,13:58,94233317,52.501977,13.489494,"52.501977, 13.489494",Berlin,"Lueckstrasse 63, 10317 Berlin",Immanuel-Kant-Gymnasium,,25,lightly cloudy,full shade,weak wind,59.59032,67,36.65246,0,100,"""Dreck zur Verwechslung mit Ameisen""? (not very legible), ""zwischen zwei Uhrzeiten halten sich teilweise mehr Ameisen auf""",
23-22022,Stemml Ameisen,09.06.2023,11:57,,94226831,52.502361,13.490361,"52.502361, 13.490361",Berlin,"Lueckstrasse 63, 10317 Berlin",Immanuel-Kant-Gymnasium,,25,lightly cloudy,full shade,no wind,68.25325,80,32.46318,4,100,,
23-22025,KANTFARI,09.06.2023,11:54,,94226774,52.502298,13.490253,"52.502298, 13.490253",Berlin,"Lueckstrasse 63, 10317 Berlin",Immanuel-Kant-Gymnasium,,25,no clouds,full shade,weak wind,69.25649,81.5,31.87744,4,100,,address doesn't correspond to coordinates => correct address here
23-22028,G. 1. Black,31.05.2023,10:50,12:40,94253287,51.362799,12.368982,"51.362799, 12.368982",Leipzig,"Elsbethstraße 1, 04155 Leipzig",Geschwister-Scholl-Grundschule,,,lightly cloudy,no shade,weak wind,85.78778,100,23.8639,5,100,,no sample linked to this data sheet
23-22029,LIMDAHE,09.06.2023,11:54,14:43,94233373,52.502322,13.489989,"52.502322, 13.489989",Berlin,Lueckstrasse 63 10317 Berlin Lichtenberg,Immanuel-Kant-Gymnasium,,23,lightly cloudy,half-shade,weak wind,70.11003,82,31.05389,4,100,"Ameisen, die man wo anders sieht",
23-22030,X Box G. 2,31.05.2023,10:55,,94226773,51.362799,12.368982,"51.362799, 12.368982",Leipzig,"Elsbethstraße 1, 04155 Leipzig",Geschwister-Scholl-Grundschule,,20,no clouds,no shade,no wind,85.78778,100,23.8639,5,100,,no sample linked to this data sheet
23-22033,,06.09.2023,11:40,13:40,94233450,51.318190,12.395532,"51.318190, 12.395532",Leipzig,"Puschstrasse 4, 04103 Leipzig",iDiv,,25,no clouds,half-shade,no wind,93.84142,100,13.87312,19,100,"start in full shade, half-shade from 20', no shade from 60'",
23-22035,Gruppe 4: Die Ameisenchecker 2.0,31.05.2023,10:50,12:37,94253260,51.362799,12.368982,"51.362799, 12.368982",Leipzig,"Elsbethstraße 1, 04155 Leipzig",Geschwister-Scholl-Grundschule,,23,lightly cloudy,half-shade,weak wind,85.78778,100,23.8639,5,100,,no sample linked to this data sheet
23-22040,"3. Gruppe ""Picknickpause""",31.05.2023,10:50,12:50,94226796,51.362799,12.368982,"51.362799, 12.368982",Leipzig,"Elsbethstraße 1, 04155 Leipzig",Geschwister-Scholl-Grundschule,Schulhof,20,no clouds,half-shade,weak wind,85.78778,100,23.8639,5,100,"""es krubleln überall käfer herum; 1 auf den 40% herein"", ""ist fast ausgetrocknet"" (about baits)","no sample linked to this data sheet, date not given, but all experiments from that school seem to have been done on the same day at the same time"
23-22041,"Gruppe 2 Paula, Luiz & Tilda",26.05.2023,11:15,13:15,94226724,52.431593,13.212723,"52.431593, 13.212723",Berlin,"Wasgenstraße 50, 14129 Berlin",Johannes-Tews-Grundschule,,16,no clouds,half-shade,weak wind,56.13355,59,33.29072,0,100,"too many people, too loud; ""Sie gehen mehr an die Tropfen als an die Watte""",probably Johannes-Tews  Grundschule
23-22042,,06.09.2023,12:10,14:10,94226791,51.317805,12.395509,"51.317805, 12.395509",Leipzig,"Puschstrasse 1, 04103 Leipzig",iDiv,,26,no clouds,no shade,weak wind,90.58416,100,15.55206,46,100,"""Ameisen laufen anfangs an Hödern vorbei (ca 5 stück); Ameisen sind sehr schnell (ebenfalls schnelle Flucht beim Einsammeln)""",ants fled while collecting at end of exp. (translation of participant comment)
23-22043,Gr 5 Käfer Chaos,31.05.2023,10:48,12:45,94253259,51.362799,12.368982,"51.362799, 12.368982",Leipzig,"Elsbethstraße 1, 04155 Leipzig",Geschwister-Scholl-Grundschule,,20,no clouds,full shade,weak wind,85.78778,100,23.8639,5,100,"""Kinder""",no sample linked to this data sheet
23-22045,"Lara und Ethan, Panar",26.05.2023,,,94226787,,,,,,,,13.5,lightly cloudy,full shade,weak wind,,,,,,,"no info on location, too many schools did experiments on this day to make a guess"
23-22046,Verwucherte Sandgrube,26.05.2023,09:30,11:30,94233359,52.476572,13.320729,"52.476572, 13.320729",Berlin,"Laubacher Str. 27, 14197 Berlin",Ruppin Grundschule,,14,no clouds,no shade,weak wind,60.44444,59,30.58352,0,100,,address very near participating school Ruppin Grundschule
23-22047,Die Bäkiameisen,26.05.2023,09:08,11:10,94226832,52.449057,13.320091,"52.449057, 13.320091",Berlin,"Haydnstraße 15, 12203 Berlin",Grundschule an der Bäke,Schulhof,13,no clouds,half-shade,weak wind,27.51948,18,27.61886,0,100,"""Wir haben keine Ameisen gefunden :(""",
23-22049,Mark Ameisen Forscher,25.05.2023,12:31,14:30,94226718,52.390833,13.419689,"52.390833, 13.419689",Berlin,Nahariyastrasse 13-17 12309 Berlin,Nahariya Grundschule,,19,lightly cloudy,half-shade,weak wind,48.67857,44.5,30.326,0,100,,
23-22050,"Nele, Paulina, Sina, Klara, Seran, Endecker",25.05.2023,12:37,14:36,94226806,52.390833,13.419689,"52.390833, 13.419689",Berlin,Nahariyastrasse 13-17 12309 Berlin,Nahariya Grundschule,,18,lightly cloudy,half-shade,weak wind,48.67857,44.5,30.326,0,100,,
23-22052,Schulgarten-Ameisen Experiment,03.06.2023,12:00,12:06,,52.443687,13.275917,"52.443687, 13.275917",Berlin,"Molsheimer Str. 7, 14195 Berlin",Mühlenau-Grundschule,Schulgarten,,,,,51.51447,45,31.45311,0,100,,
23-22057,Ameisenpicknick,03.07.2023,11:41,11:55,,52.443731,13.275909,"52.443731, 13.275909",Berlin,"Molsheimer Str. 7, 14195 Berlin",Mühlenau-Grundschule,Schulgarten,21,lightly cloudy,half-shade,weak wind,51.33226,45,31.57494,0,100,"""Leider ist die Zuckerdösung um gefallen ):""",no sample linked to this data sheet
23-22058,Ameisenhaufen,03.07.2023,12:01,,,52.443143,13.275967,"52.443143, 13.275967",Berlin,"Molsheimer Str. 7, 14195 Berlin",Mühlenau-Grundschule,"""Am Wasserhahn""",20,very cloudy,half-shade,weak wind,46.16558,38,33.10513,0,100,,only experiments done on this day were at this school
23-22061,"Gruppe 4 Emilia, Pauline, Hanna (the cats)",26.05.2023,11:13,,94233308,52.431593,13.212723,"52.431593, 13.212723",Berlin,"Wasgenstraße 50, 14129 Berlin",Johannes-Tews-Grundschule,,17,lightly cloudy,half-shade,weak wind,56.13355,59,33.29072,0,100,"""in der Nähe vom Wald""; ""Es sind Fliegen gekommen die Armeisen haven Getrunken""","no info on location but date, time of day and group name nomenclature matches that of 23-22041"
23-22063,"Die Zuckerdiebe Mohammed, Fabi, Micha, Vincent",25.05.2023,12:36,14:36,94233327,52.390833,13.419689,"52.390833, 13.419689",Berlin,Nahariyastrasse 13-17 12309 Berlin,Nahariya Grundschule,,19,lightly cloudy,no shade,no wind,48.67857,44.5,30.326,0,100,,
23-22065,Gruppe 3 LLJ Livia Laetitia Jacob,26.05.2023,11:15,,94226713,52.431593,13.212723,"52.431593, 13.212723",Berlin,"Wasgenstraße 50, 14129 Berlin",Johannes-Tews-Grundschule,,16,lightly cloudy,no shade,weak wind,56.13355,59,33.29072,0,100,"ball, people","no info on location but date, time of day and group name nomenclature matches that of 23-22041"
23-22066,"4 Ameisenpicknick - Clara, Leila, Emma, Maris, Linus",26.05.2023,09:26,11:26,94233303,52.475880,13.321690,"52.475880, 13.321690",Berlin,"Friedenau, 14197 Berlin",Ruppin Grundschule,,,no clouds,half-shade,weak wind,48.62258,44,37.56297,0,100,"""vielleicht mögen die Ameisen keinen Schatten, vielleicht stört eine Wurzel die Ameisen, weil sie so nicht hinkommen; Experiment steht auf einem leichten Hügel""",address very near participating school Ruppin Grundschule
23-22067,Bäke G.S.I Super Tokio,26.05.2023,10:43,12:44,94226712,52.447831,13.318825,"52.447831, 13.318825",Berlin,"Haydnstrasse 15, 12203 Berlin",Grundschule an der Bäke,,13.5,no clouds,half-shade,no wind,45.64052,40,29.90718,0,100,"""eine Ameise is gestorben nach den sie auf die Watte gegangen ist""","no info on location, but group name may mean Bäke grundschule, date matches with experiments done there"
23-22068,"Gruppe 1 Moritz, Julius, Leander, (Drei???)",26.05.2023,11:15,13:15,94226820,52.431593,13.212723,"52.431593, 13.212723",Berlin,"Wasgenstraße 50, 14129 Berlin",Johannes-Tews-Grundschule,"""Im Wald""",16,lightly cloudy,half-shade,weak wind,56.13355,59,33.29072,0,100,"""es kommen wenig Ameisen"", ""Im Wald""","no info on location but date, time of day and group name nomenclature matches that of 23-22041"
23-22069,(Drawn heart),03.07.2023,12:03,,,52.443143,13.275967,"52.443143, 13.275967",Berlin,"Molsheimer Str. 7, 14195 Berlin",Mühlenau-Grundschule,Ecke Schulgarten,,very cloudy,full shade,strong wind,46.16558,38,33.10513,0,100,"""Ecke Schulgarten""","only experiments done on this day were at this school; 2 options picked for wind, kept strongest one"
23-22070,"Valentina, Lana, Marna, Mic, Letizia",26.05.2023,09:00,11:00,94233324,52.447831,13.318825,"52.447831, 13.318825",Berlin,"Haydnstrasse 15, 12203 Berlin",Grundschule an der Bäke,,13,no clouds,half-shade,weak wind,45.64052,40,29.90718,0,100,"""der Boden war trocken, hart und dort waren Mäuselöcher. est gab keine Ameisen nur dar eine Ameise manchmal hin und her gakrabbelt ist""","address on google maps for the school seems to be haydnstrasse 15, not 16"
23-22075,Ameisenexpedition,08.07.2023,15:42,17:42,94226771,52.418272,13.267046,"52.418272, 13.267046",Berlin,Tuerksteinweg 11 14167 Berlin,private house,,31,no clouds,full shade,no wind,14.1129,10,16.9124,0,95,,"on chart it says 15:42 as start time, on first page it says both 15:30 and 15:42, I went with 15:42. Same thing with end time"
23-22076,#Mikrosafari Girls Group,26.05.2023,09:32,11:32,94233325,52.475364,13.320428,"52.475364, 13.320428",Berlin,"Laubacher Str. 22, 14197 Berlin",Ruppin Grundschule,,14,no clouds,full shade,weak wind,69.7871,73.5,27.89982,10,100,"""es lief leider nicht wie gewollt bei uns""",address very near participating school Ruppin Grundschule
23-22085,SMDM,26.05.2023,09:10,,94226789,52.448279,13.320400,"52.448279, 13.320400",Berlin,"Haydnstraße 18, 12203 Berlin",Grundschule an der Bäke,,14,no clouds,full shade,weak wind,21.06431,15,25.27207,0,100,,
23-22087,Die Schaffige Sandgruppe,26.05.2023,09:36,11:35,94226790,52.475184,13.320656,"52.475184, 13.320656",Berlin,"Offenbacher Str. 5A, 14197 Berlin",Ruppin Grundschule,,14,no clouds,full shade,weak wind,66.87179,69.5,27.96729,10,100,"""sandiger standort ist unangemessen""",
23-22088,5 Mc. Aal,26.05.2023,09:29,11:29,94226788,52.475750,13.321651,"52.475750, 13.321651",Berlin,"Friedenau, Berlin-Bezirk Tempelhof-Schöneberg",Ruppin Grundschule,,12,no clouds,half-shade,no wind,51.03226,45.5,36.91445,0,100,"""Kellerasseln, Fliege""","no sample linked to this data sheet, address very near participating school Ruppin Grundschule"
23-22089,,04.06.2023,12:10,14:20,94253271,51.319826,12.379610,"51.319826, 12.379610",Leipzig,Scharnhorststrasse 47 04275 Leipzig,Kurt Masur Schule,,21,no clouds,half-shade,weak wind,66.15909,68.5,31.07622,11,100,"""die Ameisen leben in einer Gardena Ventilbox""",
23-22090,KMS 2,26.05.2023,09:30,11:30,94253256,51.319498,12.377589,"51.319498, 12.377589",Leipzig,"Scharnhorststraße 24, 04275 Leipzig",Kurt Masur Schule,Schulgarten,17,lightly cloudy,full shade,no wind,89.90354,100,18.34776,20,100,"""am Ende waren keine Ameisen auf dem Köder""",no sample linked to this data sheet
