"i","T1_mean","T1_max","T1_min","T1_sd","T1_var","T2_mean","T2_max","T2_min","T2_sd","T2_var","T3_mean","T3_max","T3_min","T3_sd","T3_var","Raw_moist_mean","Raw_moist_max","Raw_moist_min","Raw_moist_sd","Raw_moist_var","Vol_moist_mean","Vol_moist_max","Vol_moist_min","Vol_moist_sd","Vol_moist_var"
"22-11022","21.015625","23.5625","19.5","1.32571998632549","1.75753348214286","21.234375","24.25","17.25","2.55601313083482","6.533203125","22.125","23.9375","18.875","1.673386749764","2.80022321428571","864.5","874","856","6.56832224718437","43.1428571428571","4.7875","5","4.6","0.145773797371133","0.0212500000000001"
"22-11023","21.6319444444444","22","21","0.440219721023238","0.193793402777778","28.375","30.1875","26.875","1.07392751733997","1.1533203125","29.1388888888889","30.875","27.875","0.932160721716546","0.868923611111111","1811.11111111111","1822","1797","9.80362744656849","96.1111111111111","25.0111111111111","25.2","24.7","0.208832734769028","0.043611111111111"
"22-11024","17.5625","18.25","17.3125","0.336572800445906","0.11328125","19.2142857142857","20.5","18.75","0.691142945727272","0.477678571428571","18.6607142857143","19.375","18.25","0.3659625273557","0.133928571428571","1064","1113","1051","21.9012937213003","479.666666666667","9.25714285714286","10.3","9","0.464962876142253","0.216190476190477"
"22-11025","22.5625","22.875","21.375","0.492125492125738","0.2421875","23.203125","23.8125","22.875","0.29457520868435","0.0867745535714286","23.4140625","24.125","22.625","0.485202346412593","0.235421316964286","1193.625","1208","1172","13.5429211873109","183.410714285714","12.0875","12.4","11.6","0.294897076476329","0.0869642857142858"
"22-11026","13.375","14.5","12.9375","0.483113276054385","0.2333984375","15.8958333333333","18.625","14.6875","1.15835956205316","1.341796875","16.1597222222222","18.25","14.75","1.07760907542784","1.16124131944444","908.555555555556","968","895","22.7107414625278","515.777777777778","5.77777777777778","7.1","5.5","0.504424865014052","0.254444444444444"
"22-11027","16.4910714285714","16.625","16.3125","0.132231308878113","0.017485119047619","17.7946428571429","18.125","17.375","0.254425122299554","0.0647321428571429","17.7142857142857","18.125","17.375","0.23064996154759","0.0531994047619048","1026.57142857143","1031","1021","3.64495737776374","13.2857142857143","8.44285714285714","8.5","8.3","0.078679579246944","0.00619047619047615"
"22-11029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-11030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-11031","18.09375","21.25","17.5","1.28130444135208","1.64174107142857","24.140625","27.625","23.125","1.45380888285123","2.11356026785714","26.875","27.9375","26.25","0.529276797688533","0.280133928571429","1677.625","1787","1611","89.7487564577598","8054.83928571429","22.3","24.5","20.9","1.82208671582886","3.32"
"22-11032","21.03125","21.875","20.625","0.422577127364258","0.178571428571429","22.7734375","25.875","21.4375","1.60493710240575","2.57582310267857","23.015625","26","21.5","1.73679649169712","3.01646205357143","668","680","661","6.76123403782813","45.7142857142857","0.2875","0.6","0.1","0.180772153354911","0.0326785714285714"
"22-11033","18.2569444444444","18.4375","18","0.148048650036999","0.0219184027777778","22.2847222222222","25.25","20.375","1.91726100386579","3.67588975694444","22.2569444444444","24.625","21","1.31378079042045","1.72601996527778","1591.33333333333","1601","1583","7.05336798983294","49.75","20.5444444444444","20.7","20.4","0.133333333333334","0.0177777777777779"
"22-11034","20.6607142857143","22.125","20.125","0.706053754867081","0.498511904761905","22.2767857142857","24.6875","20.375","1.78967566561521","3.20293898809524","21.0803571428571","23.875","19.25","1.785617556904","3.18843005952381","966.428571428571","978","961","6.45128263363555","41.6190476190476","7.07142857142857","7.3","7","0.125356634105602","0.0157142857142857"
"22-11036","24.6666666666667","27.8125","22.5","1.98496956315876","3.94010416666667","22.09375","23.8125","20.875","1.01991880804307","1.040234375","22.1979166666667","24.6875","20.625","1.38429622612599","1.91627604166667","676.333333333333","681","673","2.65832027165025","7.06666666666667","0.5","0.6","0.4","0.0632455532033676","0.004"
"22-11037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-11038","18.4097222222222","19.125","18.25","0.281442835127215","0.0792100694444444","24.5","29.125","22.375","2.41839467674323","5.8486328125","25.9791666666667","30.125","22.8125","2.80624304008046","7.875","1227.22222222222","1237","1220","5.62978191801818","31.6944444444444","12.8222222222222","13","12.7","0.120185042515467","0.0144444444444445"
"22-11039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-11041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-11043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-11044","18.4861111111111","19.25","18.3125","0.29444362552297","0.0866970486111111","21.1597222222222","22.3125","20.25","0.728943418205038","0.531358506944444","21.2013888888889","22.5","20.125","0.836063236909213","0.699001736111111","937.888888888889","964","903","21.0442655160761","442.861111111111","6.44444444444444","7","5.7","0.453075907302273","0.205277777777778"
"22-11046","24.6666666666667","32","20.625","4.16057888600453","17.3104166666667","21.96875","25.125","20.1875","1.6931617982343","2.866796875","21.6145833333333","24.875","19.875","1.78641429731926","3.19127604166667","662.333333333333","680","653","9.58471004604034","91.8666666666667","0.183333333333333","0.6","0","0.22286019533929","0.0496666666666667"
"22-11048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-11049","17.4583333333333","18","17.25","0.235932326102211","0.0556640625","21.125","24.5","19.375","1.76334199745824","3.109375","22.3263888888889","27.5","20.125","2.48231592693418","6.16189236111111","1253.44444444444","1267","1238","9.58007190879994","91.7777777777778","13.4111111111111","13.7","13.1","0.202758751009941","0.041111111111111"
"22-11052","18.8482142857143","19.5","18.5","0.349585213400927","0.122209821428571","20.0892857142857","22.25","18.875","1.41506825092004","2.0024181547619","19.25","20.875","18.1875","1.09864973945293","1.20703125","1051.14285714286","1060","1044","6.69399162006675","44.8095238095238","8.98571428571429","9.2","8.8","0.167616341969505","0.0280952380952379"
"22-11053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
